trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
142,False,"{'a': 0.2, 'e': 0.645}",25,14,-2.698875824665195,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.2, 'e': 0.6425000000000001}",20,7,-98.56170823128343,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 2}",1
144,False,"{'a': 0.2, 'e': 0.64}",20,5,-77.39847277097503,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 1}",1
145,False,"{'a': 0.2, 'e': 0.6375}",25,11,-29.16783394213271,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.2, 'e': 0.635}",20,6,13.27945206806229,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.2, 'e': 0.6325000000000001}",20,6,-82.32809052893128,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 2}",1
148,False,"{'a': 0.2, 'e': 0.63}",30,0,-120.06841677986826,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
149,False,"{'a': 0.2, 'e': 0.6275}",30,12,-73.22875593559651,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 1}",1
150,False,"{'a': 0.2, 'e': 0.625}",25,0,-49.71001318984696,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
151,False,"{'a': 0.2, 'e': 0.6225}",20,7,-49.24857037809865,"{0: 8, 1: 2, 2: 1, 3: 2, 4: 0}",1
152,False,"{'a': 0.2, 'e': 0.62}",30,8,-42.09217680035638,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
153,False,"{'a': 0.2, 'e': 0.6174999999999999}",25,10,-3.9938039435893096,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
154,False,"{'a': 0.2, 'e': 0.615}",20,0,-15.962023429539103,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
155,False,"{'a': 0.2, 'e': 0.6125}",20,0,-50.238290027280605,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
156,False,"{'a': 0.2, 'e': 0.61}",20,2,-4.235845145451218,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.2, 'e': 0.6074999999999999}",20,0,-75.24773403436066,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
158,False,"{'a': 0.2, 'e': 0.605}",20,2,-32.014280596824,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
159,False,"{'a': 0.2, 'e': 0.6025}",20,0,-31.85935321784659,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
160,False,"{'a': 0.2, 'e': 0.6}",30,10,-45.458812958665256,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",1
161,False,"{'a': 0.2, 'e': 0.5974999999999999}",25,6,-97.51827413746149,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 2}",1
162,False,"{'a': 0.2, 'e': 0.595}",30,12,-38.57955532672119,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
163,False,"{'a': 0.2, 'e': 0.5925}",25,9,-7.7136253308316185,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
164,False,"{'a': 0.2, 'e': 0.59}",30,11,-3.9781342018915122,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.2, 'e': 0.5874999999999999}",25,5,-6.509314379858138,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
166,False,"{'a': 0.2, 'e': 0.585}",20,2,-0.6247325402870132,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.2, 'e': 0.5825}",20,2,-7.6541249053603435,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
168,False,"{'a': 0.2, 'e': 0.5800000000000001}",30,0,-87.16432510700139,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
169,False,"{'a': 0.2, 'e': 0.5775}",30,20,6.194934610203519,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.2, 'e': 0.575}",20,11,17.10175893462955,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.2, 'e': 0.5725}",25,8,-37.13629633749411,"{0: 12, 1: 3, 2: 0, 3: 2, 4: 0}",1
172,False,"{'a': 0.2, 'e': 0.5700000000000001}",30,0,-128.419454427137,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
173,False,"{'a': 0.2, 'e': 0.5675}",30,0,-90.47117420283948,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
174,False,"{'a': 0.2, 'e': 0.565}",25,12,20.718364349351393,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.2, 'e': 0.5625}",30,16,-14.386522113943466,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
176,False,"{'a': 0.2, 'e': 0.56}",20,2,-7.400248182410756,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
177,False,"{'a': 0.2, 'e': 0.5575}",25,0,-68.38929317824838,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
178,False,"{'a': 0.2, 'e': 0.5549999999999999}",20,16,8.515358104563715,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.2, 'e': 0.5525}",25,0,-88.10870893094139,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
180,False,"{'a': 0.2, 'e': 0.55}",25,12,-70.34332919577231,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
